歌曲名称,视频内容与歌词语义、语境是否吻合,视频内容是否连贯,视频内容与音乐节奏是否匹配
黄霄雲 _ 王者荣耀 - 挑战_1_2,0,0,0
黄霄雲 _ 王者荣耀 - 挑战_1_3,0,0,0
黄霄雲 _ 王者荣耀 - 挑战_1_4,0,0,0
黄小琥 - 没那么简单 (前半 Live)_26,1,1,0
黄小琥 - 没那么简单 (前半 Live)_8,0,0,0
吉克隽逸 - 余烬_13,0,0,1
吉克隽逸 - 余烬_28,1,1,1
吉克隽逸 - 余烬_43,1,1,1
吉克隽逸 - 余烬_5,1,0,1
加一 - 你的样子_16,0,0,0
剑网3 _ 凤凰传奇 _ 国风新语 - 万象长安_13,1,1,1
剑网3 _ 凤凰传奇 _ 国风新语 - 万象长安_30,1,1,1
剑网3 _ 慕寒 - 一卷生光_29,1,0,1
剑网3 _ 慕寒 - 一卷生光_54,0,0,1
剑网3 _ 慕寒 - 一卷生光_67,0,1,1
剑网3 _ 晴愔 _ 国风集 - 眉间雪_23,0,0,1
剑网3 _ 周深 - 江湖缘起_37,1,1,1
剑网3 _ 周深 - 江湖缘起_56,1,1,1
剑网3 _ 周深 - 江湖缘起_68,0,0,1
姜育恒 - 跟往事干杯_15_0,1,1,1
姜育恒 - 跟往事干杯_15_2,0,0,1
姜育恒 - 跟往事干杯_15_3,1,1,1
蒋道理 - 白山茶_11,1,0,1
蒋山 - 面朝大海春暖花开_50,1,1,1
李谜尔 - 超现实的爱_15,1,1,1
李谜尔 - 超现实的爱_37,0,1,1
李谜尔 - 超现实的爱_52_0,0,1,1
李谜尔 - 超现实的爱_52_1,0,0,1
李谜尔 - 超现实的爱_52_2,0,0,0
李谜尔 - 超现实的爱_7,0,1,1
李圣杰 - 痴心绝对_20,1,0,1
李圣杰 - 痴心绝对_40,0,1,1
李圣杰 - 痴心绝对_53,0,0,0
李圣杰 - 手放开 (Live)_26,0,0,1
李圣杰 - 手放开 (Live)_40,1,0,1
李圣杰 - 手放开 (Live)_49,1,0,1
李斯丹妮 _ 硬糖少女303希林娜依·高 - 顺着风的方向_1_0,1,1,1
李斯丹妮 _ 硬糖少女303希林娜依·高 - 顺着风的方向_31_0,1,0,1
李斯丹妮 _ 硬糖少女303希林娜依·高 - 顺着风的方向_31_2,0,0,0
李雅微 - 我们的纪念_12_0,0,0,1
李雅微 - 我们的纪念_12_1,1,0,1
李雅微 - 我们的纪念_31_0,0,0,0
李雅微 - 我们的纪念_31_1,1,1,1
李宇春 - 和你一样_9,0,1,1
李宇春 - 再不疯狂我们就老了_16_0,1,1,1
李宇春 - 再不疯狂我们就老了_16_1,1,1,0
李宇春 - 再不疯狂我们就老了_3_0,0,0,1
李宇春 - 再不疯狂我们就老了_3_1,1,1,0
梁咏琪 - 爱的代价_14,1,1,1
梁咏琪 - 爱的代价_27,1,0,0
梁咏琪 - 爱的代价_3,1,1,1
梁咏琪 - 爱的代价_43,1,1,0
梁咏琪 - 胆小鬼_10,0,0,0
梁咏琪 - 胆小鬼_38,0,0,1
梁咏琪 - 胆小鬼_46,0,1,0
梁咏琪 - 胆小鬼_52,0,0,0
梁咏琪 - 胆小鬼_60,0,1,0
林志炫 - 凤凰花开的路口_16_2,1,0,0
林志颖 - 我不后悔_10_0,0,0,0
林志颖 - 我不后悔_10_2,0,0,1
林志颖 - 我不后悔_10_3,1,1,0
林志颖 - 我不后悔_10_4,1,0,1
刘欢 - 好汉歌_3_0,0,0,0
刘欢 - 好汉歌_3_1,0,0,0
刘欢 - 好汉歌_3_2,0,0,0
刘欢 - 好汉歌_3_4,0,0,0
刘惜君 - 初恋_20_0,1,0,1
刘惜君 - 初恋_3_0,1,1,1
刘惜君 - 初恋_3_1,1,1,0
刘惜君 - 初恋_39,0,0,0
刘惜君 - 我很快乐_39,0,0,0
刘筝 - 曲终人散我还在等_6_0,0,0,0
刘筝 - 曲终人散我还在等_6_1,0,0,0
刘筝 - 曲终人散我还在等_6_3,0,0,0
刘筝 - 曲终人散我还在等_6_5,0,0,0
罗大佑 - 童年_3_0,1,0,0
罗大佑 - 童年_3_1,1,1,0
罗大佑 - 童年_3_2,1,1,1
罗大佑 - 童年_3_4,1,1,1
罗大佑 - 童年_3_5,1,1,1
罗志祥 - 恋爱达人_27,0,0,0
罗志祥 - 恋爱达人_3,1,1,0
罗志祥 - 恋爱达人_43,0,0,1
毛不易 - 平凡的一天 (Live)_19_0,1,1,1
毛不易 - 平凡的一天 (Live)_19_3,1,0,1
毛不易 - 平凡的一天 (Live)_19_5,1,1,1
明天会更好_1_0,0,0,0
明天会更好_1_1,1,0,1
明天会更好_1_2,0,0,1
明天会更好_1_4,0,0,0
明天会更好_1_6,0,0,0
明天会更好_1_7,0,0,0
木兰_3_0,0,0,0
木兰_3_1,0,0,0
木兰_3_2,1,0,0
木兰_3_3,1,0,1
木兰_3_4,0,0,1
哪里都是你_3_1,1,0,0
哪里都是你_3_2,1,0,0
哪里都是你_3_3,0,0,1
哪里都是你_3_5,0,0,1
南拳妈妈 - 下雨天_15_0,1,0,1
南拳妈妈 - 下雨天_15_1,0,0,0
南拳妈妈 - 下雨天_33_0,1,1,1
南拳妈妈 - 下雨天_33_1,1,0,0
南拳妈妈 - 下雨天_49,1,1,1
你有没有听到我_12,1,0,0
你有没有听到我_26_0,0,0,0
你有没有听到我_26_1,0,1,1
你有没有听到我_3,1,0,1
暖暖Nikki - 回忆烟火_1_1,1,0,1
暖暖Nikki - 回忆烟火_1_2,0,0,0
暖暖Nikki - 回忆烟火_1_3,0,1,1
暖暖Nikki - 回忆烟火_1_4,0,0,0
暖暖Nikki - 回忆烟火_1_5,0,0,1
派克特 _ 和平精英 - 1_PEL_13,0,0,0
派克特 _ 和平精英 - 1_PEL_46,0,0,0
千年游_10_0,1,1,1
千年游_10_1,1,0,1
千年游_10_3,0,0,1
千年游_10_4,1,1,1
请你恰恰_15,0,0,0
请你恰恰_31_1,0,0,0
瞿颖 - 加速度_38,1,1,1
瞿颖 - 加速度_49,1,1,1
圈圈 - 曲终人亦散 (女版)_1_0,0,0,0
圈圈 - 曲终人亦散 (女版)_1_1,1,0,1
圈圈 - 曲终人亦散 (女版)_1_3,0,0,1
圈圈 - 曲终人亦散 (女版)_1_4,1,1,1
十年_29_0,1,1,1
十年_29_1,0,1,1
十年_7_0,0,1,1
十年_7_1,0,0,1
十年_7_2,0,1,1
私语_1_0,0,0,1
私语_1_1,0,0,0
私语_1_2,1,1,1
私语_1_3,1,0,1
私语_1_4,0,0,0
私语_1_5,0,1,1
宋姗珊 - 一个人想着一个人_3_1,0,0,0
宋姗珊 - 一个人想着一个人_3_3,1,1,1
宋姗珊 - 一个人想着一个人_3_4,1,1,1
苏琛 - 拾忆_3_1,0,0,1
苏琛 - 拾忆_3_3,0,0,1
苏打绿 - 我的未来不是梦_12,1,0,1
苏打绿 - 我的未来不是梦_21,0,1,1
苏打绿 - 我的未来不是梦_41_0,1,0,1
苏打绿 - 我的未来不是梦_41_1,0,0,1
苏打绿 - 我的未来不是梦_41_2,0,1,1
推开世界的门最初的时候_37,0,1,1
推开世界的门最初的时候_44_0,0,0,1
推开世界的门最初的时候_44_1,0,0,0
推开世界的门最初的时候_6_0,1,1,1
推开世界的门最初的时候_6_1,0,0,0
外猩人 - 让爱转动整个宇宙_21_0,1,0,0
外猩人 - 让爱转动整个宇宙_8_0,1,1,1
外猩人 - 让爱转动整个宇宙_8_1,1,1,1
汪峰 - 怒放的生命_19,0,1,1
汪峰 - 一起摇摆_10_1,1,1,1
汪苏泷 _ 阿悄 - 埋葬冬天_1,0,0,0
汪苏泷 _ 阿悄 - 埋葬冬天_32,0,0,1
汪苏泷 _ 阿悄 - 埋葬冬天_33,0,0,1
汪苏泷 _ 阿悄 - 埋葬冬天_73,1,1,1
王二妮 - 山丹丹开花红艳艳_24,1,1,1
王浩然 - 搁浅_41_0,0,1,1
王浩然 - 搁浅_41_1,0,0,0
王浩然 - 搁浅_58,0,1,0
王茗 - 大眠_3_0,1,0,1
王茗 - 大眠_3_2,0,0,1
王茗 - 大眠_3_3,1,1,1
王茗 - 大眠_3_4,1,0,1
王者荣耀同人局 - 如弈投渊（王者荣耀·弈星同人印象曲）_11,1,1,1
王者荣耀同人局 - 如弈投渊（王者荣耀·弈星同人印象曲）_45,1,1,1
王者荣耀同人局 - 如弈投渊（王者荣耀·弈星同人印象曲）_79,1,1,1
忘不掉的你_31,0,1,1
忘不掉的你_40_1,1,0,0
忘不掉的你_5,1,0,1
忘不掉的你_57,1,1,1
忘不掉的你_6,1,0,0
为爱感动_1_0,0,1,1
为爱感动_1_1,1,1,1
为爱感动_1_2,0,0,1
为爱感动_1_3,1,1,1
为爱感动_1_4,1,1,0
魏晨 - 流星雨又来临_3_1,1,1,1
五月天 - 倔强_23,1,1,1
五月天 - 倔强_34,0,0,1
五月天 - 倔强_45_0,1,0,1
五月天 - 倔强_45_1,1,0,0
五月天 - 倔强_6_0,0,1,1
五月天 - 倔强_6_1,1,1,1
伍佰 & China Blue - 突然的自我 (Live)_14_0,0,0,1
伍佰 & China Blue - 突然的自我 (Live)_14_1,1,1,1
伍佰 & China Blue - 突然的自我 (Live)_29_0,1,1,1
伍佰 & China Blue - 突然的自我 (Live)_29_1,1,1,1
伍佰 & China Blue - 突然的自我 (Live)_5,0,1,1
雾岛孟川 - 我们的爱_39,1,0,0
喜东东呀 - 南半球与北海道_25,1,1,1
喜东东呀 - 南半球与北海道_46,1,1,1
萧亚轩 - 爱的主打歌_12_0,0,0,0
萧亚轩 - 爱的主打歌_12_1,1,1,1
萧亚轩 - 爱的主打歌_28_0,1,0,0
萧亚轩 - 爱的主打歌_28_1,1,1,1
萧亚轩 - 爱的主打歌_28_2,1,1,1
萧亚轩 - 爱的主打歌_3,1,1,1
小陈陈 - 星光降落_17,1,1,1
小陈陈 - 星光降落_31_0,1,1,1
小陈陈 - 星光降落_31_1,1,1,1
小陈陈 - 星光降落_4,1,1,1
心似烟火_105,1,1,1
心似烟火_18,1,0,1
心似烟火_53,0,1,1
心碎莫扎特_4_0,1,0,0
心碎莫扎特_4_1,1,1,1
心碎莫扎特_4_2,1,1,0
信乐团 - 死了都要爱_24_1,0,0,0
信乐团 - 死了都要爱_24_2,0,1,0
信乐团 - 死了都要爱_3_0,0,0,0
信乐团 - 死了都要爱_3_2,1,0,1
信乐团 _ 戴爱玲 - 千年之恋_24_0,1,1,1
信乐团 _ 戴爱玲 - 千年之恋_24_1,1,1,1
信乐团 _ 戴爱玲 - 千年之恋_4_0,0,0,0
信乐团 _ 戴爱玲 - 千年之恋_4_1,1,0,0
信乐团 _ 戴爱玲 - 千年之恋_4_2,0,0,0
星晴_10,1,1,1
星晴_29_0,1,0,1
星晴_29_1,1,1,0
星晴_3,1,0,0
徐均朔 _ 邢琛 _ 王者荣耀 - 荣耀同行 (登录版)_1_0,1,1,1
徐均朔 _ 邢琛 _ 王者荣耀 - 荣耀同行 (登录版)_14,1,0,1
徐均朔 _ 邢琛 _ 王者荣耀 - 荣耀同行 (登录版)_25_0,1,0,1
徐均朔 _ 邢琛 _ 王者荣耀 - 荣耀同行 (登录版)_34_0,1,1,1
徐均朔 _ 邢琛 _ 王者荣耀 - 荣耀同行 (登录版)_34_1,1,0,1
徐均朔 _ 邢琛 _ 王者荣耀 - 荣耀同行 (登录版)_55_0,1,1,1
徐均朔 _ 邢琛 _ 王者荣耀 - 荣耀同行 (登录版)_55_1,1,1,1
徐良 _ 阿悄 - 犯贱_8,1,1,1
许嵩 - 断桥残雪_4_0,1,1,1
许嵩 - 断桥残雪_4_1,0,0,1
许嵩 - 断桥残雪_4_3,1,1,0
杨臣刚 - 老鼠爱大米_29,0,0,0
杨臣刚 - 老鼠爱大米_36,1,1,1
杨臣刚 - 老鼠爱大米_4,0,0,0
杨臣刚 - 老鼠爱大米_48_1,0,1,1
夜是克莱因蓝的忧伤_19,1,0,1
夜是克莱因蓝的忧伤_31_0,1,0,0
夜是克莱因蓝的忧伤_31_1,1,1,1
夜是克莱因蓝的忧伤_31_2,1,1,1
夜是克莱因蓝的忧伤_4_0,0,0,1
夜是克莱因蓝的忧伤_4_1,0,0,1
一梦_1_0,1,1,1
一梦_1_1,1,1,1
一梦_1_2,1,1,1
一战成神_1_0,0,0,1
一战成神_1_2,0,0,1
一战成神_1_3,1,0,1
易烊千玺 - 一起向未来_11,0,0,0
易烊千玺 - 一起向未来_18,1,0,1
易烊千玺 - 一起向未来_36,0,1,0
易烊千玺 - 一起向未来_53,0,0,0
英雄联盟 - 新生_21,0,1,1
虞兮叹_1_0,1,0,1
虞兮叹_1_1,0,0,0
虞兮叹_18_0,1,0,0
虞兮叹_18_1,0,0,1
郁可唯 - 荷塘月色 (Live)_18,0,1,1
郁可唯 - 荷塘月色 (Live)_33,1,1,1
郁可唯 - 囚鸟 (Live)_1,1,1,1
郁可唯 - 心如刀割 (Live)_17_0,0,0,1
郁可唯 - 心如刀割 (Live)_36_0,1,1,1
郁可唯 _ 潘越云 - 我是不是你最疼爱的人 (Live)_24_0,1,0,1
郁可唯 _ 潘越云 - 我是不是你最疼爱的人 (Live)_24_1,0,1,0
张碧晨 - 刻骨_66,1,0,1
张碧晨 - 刻骨_82,0,0,1
张镐哲 (Chang Ho Chirl) - 好男人_22_0,0,0,1
张镐哲 (Chang Ho Chirl) - 好男人_22_1,1,0,1
张靓颖 - 画心_74,1,0,1
张艺兴 - 就要这个味_16,0,1,0
张艺兴 - 就要这个味_30,1,0,1
张艺兴 - 就要这个味_4,0,0,0
张艺兴 - 就要这个味_45,0,0,0
张艺兴 - 就要这个味_60,1,1,0
赵雷 - 让我偷偷看你_3_0,0,0,1
赵雷 - 让我偷偷看你_3_1,0,0,0
赵雷 - 让我偷偷看你_3_3,0,0,0
赵雷 - 让我偷偷看你_3_4,0,1,0
赵英俊 - 送你一朵小红花_14_3,1,0,1
郑智化 - 水手_23_0,0,0,1
郑智化 - 水手_23_1,0,1,0
郑智化 - 水手_4_0,1,1,1
郑智化 - 水手_4_1,0,1,0
郑智化 - 水手_42_0,1,0,1
郑智化 - 水手_42_1,0,0,1
周传雄 - 冬天的秘密_4_2,1,1,1
周传雄 - 冬天的秘密_4_3,1,1,1
周华健 - 刀剑若梦_3_0,0,0,0
周华健 - 刀剑若梦_3_1,0,1,1
周华健 - 刀剑若梦_34_0,1,0,0
周华健 - 刀剑若梦_34_1,0,0,0
周华健 _ 齐豫 - 神话情话_29,0,0,0
周华健 _ 齐豫 - 神话情话_57_0,1,0,0
周华健 _ 齐豫 - 神话情话_57_1,1,0,0
